0%	0
1%	1
2%	1
3%	2
4%	2
5%	2
6%	3
7%	3
8%	3
9%	4
10%	4
11%	4
12%	5
13%	5
14%	5
15%	6
16%	6
17%	6
18%	7
19%	7
20%	8
21%	8
22%	8
23%	9
24%	9
25%	10
26%	10
27%	11
28%	11
29%	12
30%	12
31%	13
32%	13
33%	14
34%	14
35%	15
36%	15
37%	16
38%	16
39%	17
40%	18
41%	18
42%	19
43%	20
44%	20
45%	21
46%	21
47%	22
48%	23
49%	24
50%	24
51%	25
52%	26
53%	27
54%	28
55%	29
56%	30
57%	31
58%	32
59%	33
60%	33
61%	34
62%	34
63%	35
64%	35
65%	35
66%	36
67%	36
68%	37
69%	37
70%	38
71%	38
72%	39
73%	39
74%	40
75%	41
76%	41
77%	42
78%	43
79%	44
80%	45
81%	46
82%	47
83%	49
84%	52
85%	55
86%	58
87%	62
88%	66
89%	71
90%	77
91%	84
92%	92
93%	101
94%	114
95%	129
96%	149
97%	178
98%	223
99%	315
100%	5325
