Sample name	Encoding	Read length	Number of reads	Read depth	%GC	Deduplicated percentage	Per base sequence quality	Per tile sequence quality	Per sequence quality scores	Per base sequence content	Per sequence GC content	Per base N content	Sequence length distribution	Sequence duplication levels	Overrepresented sequences	Adapter content	Kmer content
100-HS8_1	Sanger / Illumina 1.9	100	55025329	68	48	62.079593880025385	FAIL	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
100-HS8_2	Sanger / Illumina 1.9	101	55025329	69	48	62.920764056627	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
93-HS1_1	Sanger / Illumina 1.9	100	48203278	60	48	65.70203625901095	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
93-HS1_2	Sanger / Illumina 1.9	101	48203278	60	48	66.26439001499517	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
94-HS2_1	Sanger / Illumina 1.9	100	43707803	54	48	63.56970532167917	FAIL	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
94-HS2_2	Sanger / Illumina 1.9	101	43707803	55	48	64.29005082037547	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
95-HS3_1	Sanger / Illumina 1.9	100	43017283	53	48	63.995833092172596	FAIL	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
95-HS3_2	Sanger / Illumina 1.9	101	43017283	54	48	64.61674498573943	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
BCC003_1	Sanger / Illumina 1.9	101	53800045	67	47	73.14347063727146	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
BCC003_2	Sanger / Illumina 1.9	101	53800045	67	47	74.29545423357204	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
BCC103_1	Sanger / Illumina 1.9	101	45175166	57	49	72.59800770273003	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
BCC103_2	Sanger / Illumina 1.9	100	45175166	56	49	72.95402194187467	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
BCC105_1	Sanger / Illumina 1.9	101	41559204	52	49	72.64071134583445	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
BCC105_2	Sanger / Illumina 1.9	100	41559204	51	49	72.90481827717298	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
BCC107_1	Sanger / Illumina 1.9	101	50628291	63	48	75.26018489641324	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
BCC107_2	Sanger / Illumina 1.9	100	50628291	63	49	75.6790521888322	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
BCC108_1	Sanger / Illumina 1.9	101	52592869	66	49	65.08663096154422	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
BCC108_2	Sanger / Illumina 1.9	101	52592869	66	49	65.58776388243345	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
BCC110_1	Sanger / Illumina 1.9	101	47480797	59	48	73.78772586401371	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
BCC110_2	Sanger / Illumina 1.9	97	47480797	57	48	75.89245538846598	FAIL	FAIL	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
BCC126_1	Sanger / Illumina 1.9	101	68877311	86	47	68.38676498890106	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
BCC126_2	Sanger / Illumina 1.9	101	68877311	86	47	69.45007736494397	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
BCC131_1	Sanger / Illumina 1.9	101	53829123	67	47	73.35483734051188	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	FAIL
BCC131_2	Sanger / Illumina 1.9	101	53829123	67	47	74.42870022933991	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
BCC1481_1	Sanger / Illumina 1.9	101	48484561	61	49	67.98396504999748	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
BCC1481_2	Sanger / Illumina 1.9	101	48484561	61	49	68.66709162037512	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
BCC1487_1	Sanger / Illumina 1.9	101	70500048	89	47	59.83884617611186	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
BCC1487_2	Sanger / Illumina 1.9	101	70500048	89	47	61.042443385602795	PASS	FAIL	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
BCC1488_1	Sanger / Illumina 1.9	101	56482738	71	48	67.09970729102767	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
BCC1488_2	Sanger / Illumina 1.9	101	56482738	71	48	68.8110035713049	PASS	FAIL	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
BCC1494_1	Sanger / Illumina 1.9	101	47204997	59	47	71.88659965805059	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
BCC1494_2	Sanger / Illumina 1.9	101	47204997	59	47	73.71405964907844	PASS	FAIL	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
BCC1503_1	Sanger / Illumina 1.9	101	72643084	91	48	60.0209266668268	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
BCC1503_2	Sanger / Illumina 1.9	101	72643084	91	48	61.372331613344656	PASS	FAIL	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
BCC1589_1	Sanger / Illumina 1.9	101	74067374	93	48	57.614346018493514	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
BCC1589_2	Sanger / Illumina 1.9	101	74067374	93	48	58.637558691052405	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
BCC167_1	Sanger / Illumina 1.9	101	48548599	61	47	70.3144867138272	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
BCC167_2	Sanger / Illumina 1.9	101	48548599	61	47	71.53300341241892	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
BCC168_1	Sanger / Illumina 1.9	101	64517558	81	47	68.27312910103433	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
BCC168_2	Sanger / Illumina 1.9	100	64517558	80	47	68.64513313007978	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
BCC169_1	Sanger / Illumina 1.9	101	44219925	55	48	68.72046503989525	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
BCC169_2	Sanger / Illumina 1.9	101	44219925	55	49	69.08059032593019	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
BCC182_1	Sanger / Illumina 1.9	101	64172969	81	48	61.12230474649534	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
BCC182_2	Sanger / Illumina 1.9	101	64172969	81	48	62.14956207491665	PASS	WARN	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
BCC185_1	Sanger / Illumina 1.9	101	50377852	63	49	67.39066705642975	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
BCC185_2	Sanger / Illumina 1.9	100	50377852	62	49	67.92814799576057	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
BCC190_1	Sanger / Illumina 1.9	101	60863412	76	48	61.393292690522095	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
BCC190_2	Sanger / Illumina 1.9	101	60863412	76	48	62.24788889664933	PASS	WARN	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
BCC192_1	Sanger / Illumina 1.9	101	55204289	69	48	65.41487777696673	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
BCC192_2	Sanger / Illumina 1.9	101	55204289	69	48	66.57947840271376	PASS	WARN	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
BCC195_1	Sanger / Illumina 1.9	101	52405228	66	48	68.44935921134149	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
BCC195_2	Sanger / Illumina 1.9	101	52405228	66	48	69.0638705053095	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
BCC197_1	Sanger / Illumina 1.9	101	53831727	67	49	66.75050651364508	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
BCC197_2	Sanger / Illumina 1.9	101	53831727	67	49	67.32496955316233	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
BCC21_1	Sanger / Illumina 1.9	101	30953187	39	48	79.42092165521842	PASS	PASS	PASS	WARN	WARN	PASS	PASS	PASS	PASS	PASS	PASS
BCC21_2	Sanger / Illumina 1.9	100	30953187	38	48	79.91625204068896	PASS	PASS	PASS	WARN	WARN	PASS	PASS	PASS	PASS	PASS	PASS
BCC42_1	Sanger / Illumina 1.9	101	59846954	75	48	75.15414905582229	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	FAIL
BCC42_2	Sanger / Illumina 1.9	100	59846954	74	48	75.73370047849856	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
BCC51_1	Sanger / Illumina 1.9	101	46982561	59	49	76.35636949791937	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	FAIL
BCC51_2	Sanger / Illumina 1.9	100	46982561	58	49	76.8120809959266	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
BCC54_1	Sanger / Illumina 1.9	101	53211384	67	48	73.93210191668892	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
BCC54_2	Sanger / Illumina 1.9	101	53211384	67	48	73.8026654229621	PASS	FAIL	PASS	PASS	WARN	PASS	PASS	PASS	WARN	PASS	PASS
BCC761_1	Sanger / Illumina 1.9	101	51511629	65	48	66.87245714881632	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
BCC761_2	Sanger / Illumina 1.9	101	51511629	65	48	67.20871014193268	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
FT226_1	Sanger / Illumina 1.9	101	48416580	61	48	70.90924032663547	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
FT226_2	Sanger / Illumina 1.9	101	48416580	61	48	71.81247046996447	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
FT359_1	Sanger / Illumina 1.9	101	52699138	66	46	73.50706004047562	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	FAIL
FT359_2	Sanger / Illumina 1.9	100	52699138	65	46	74.43791116019712	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	WARN	PASS	FAIL
FT380_1	Sanger / Illumina 1.9	100	62970437	78	49	63.15561732666062	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
FT380_2	Sanger / Illumina 1.9	101	62970437	79	49	63.62442391378823	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
FT388_1	Sanger / Illumina 1.9	100	53152341	66	49	66.56411913860427	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
FT388_2	Sanger / Illumina 1.9	101	53152341	67	49	67.25282182718838	PASS	FAIL	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
FT390_1	Sanger / Illumina 1.9	100	60272142	75	49	64.31719054495183	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
FT390_2	Sanger / Illumina 1.9	101	60272142	76	49	64.9791991752403	PASS	FAIL	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
FT411_1	Sanger / Illumina 1.9	101	46044041	58	49	70.83820546573142	PASS	PASS	PASS	WARN	WARN	PASS	PASS	PASS	PASS	PASS	PASS
FT411_2	Sanger / Illumina 1.9	101	46044041	58	49	71.7308591328111	PASS	PASS	PASS	WARN	WARN	PASS	PASS	PASS	PASS	PASS	PASS
FT414_1	Sanger / Illumina 1.9	101	56544160	71	48	68.52075561980229	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
FT414_2	Sanger / Illumina 1.9	101	56544160	71	48	69.36357071324274	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
FT519_1	Sanger / Illumina 1.9	101	58075937	73	48	67.74809713903697	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
FT519_2	Sanger / Illumina 1.9	101	58075937	73	48	68.52068588124037	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
FT520_1	Sanger / Illumina 1.9	101	55557735	70	48	67.1620537885326	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
FT520_2	Sanger / Illumina 1.9	100	55557735	69	48	67.55059160314806	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	WARN	PASS	PASS
FT521_1	Sanger / Illumina 1.9	101	55971722	70	48	65.25609518281206	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
FT521_2	Sanger / Illumina 1.9	100	55971722	69	48	65.5707907103666	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	WARN	PASS	PASS
FT523_1	Sanger / Illumina 1.9	101	47072238	59	48	68.41968003711283	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
FT523_2	Sanger / Illumina 1.9	100	47072238	58	48	68.70170816520123	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	WARN	PASS	PASS
FT524_1	Sanger / Illumina 1.9	101	57998201	73	48	66.70491059174572	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
FT524_2	Sanger / Illumina 1.9	100	57998201	72	48	67.01836506609675	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	WARN	PASS	PASS
FT525_1	Sanger / Illumina 1.9	101	40541959	51	47	78.19059105822981	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
FT525_2	Sanger / Illumina 1.9	101	40541959	51	48	77.93225228492734	PASS	FAIL	PASS	PASS	WARN	PASS	PASS	PASS	WARN	PASS	PASS
FT539_1	Sanger / Illumina 1.9	101	43524468	54	48	71.4804577538297	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
FT539_2	Sanger / Illumina 1.9	100	43524468	54	48	71.99366968714665	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
FT549_1	Sanger / Illumina 1.9	101	57636455	72	49	65.55576610594075	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
FT549_2	Sanger / Illumina 1.9	100	57636455	72	49	65.91786087235346	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
FT553_1	Sanger / Illumina 1.9	101	62179723	78	48	70.43719677800381	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
FT553_2	Sanger / Illumina 1.9	100	62179723	77	48	71.13196823597117	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
FT554_1	Sanger / Illumina 1.9	101	50703083	64	48	69.70891052434982	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
FT554_2	Sanger / Illumina 1.9	100	50703083	63	49	70.25050307783408	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
FT555_1	Sanger / Illumina 1.9	101	68236615	86	48	71.09401704957914	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
FT555_2	Sanger / Illumina 1.9	100	68236615	85	48	71.62444974942994	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
FT561_1	Sanger / Illumina 1.9	101	51553204	65	49	70.00625392811929	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
FT561_2	Sanger / Illumina 1.9	100	51553204	64	49	70.55252921117166	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
HOR10103_1	Sanger / Illumina 1.9	101	64092442	80	47	72.92846776223826	PASS	FAIL	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
HOR10103_2	Sanger / Illumina 1.9	101	64092442	80	48	73.34921366616932	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
HOR10130_1	Sanger / Illumina 1.9	101	43696799	55	48	71.88053208758143	PASS	FAIL	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
HOR10130_2	Sanger / Illumina 1.9	101	43696799	55	48	72.13385428293782	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
HOR10152_1	Sanger / Illumina 1.9	101	46338023	58	48	70.60030172093923	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
HOR10152_2	Sanger / Illumina 1.9	101	46338023	58	48	71.62191404001607	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
HOR10280_1	Sanger / Illumina 1.9	101	57930165	73	47	66.18620968289096	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR10280_2	Sanger / Illumina 1.9	101	57930165	73	47	66.85138415135977	PASS	WARN	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR10350_1	Sanger / Illumina 1.9	101	43573373	55	48	63.93787389064429	PASS	WARN	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR10350_2	Sanger / Illumina 1.9	101	43573373	55	48	64.11520949735451	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR10360_1	Sanger / Illumina 1.9	101	44456412	56	48	66.06465160882637	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR10360_2	Sanger / Illumina 1.9	101	44456412	56	48	66.41654599695428	PASS	WARN	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR10410_1	Sanger / Illumina 1.9	101	58588322	73	47	65.95444869487098	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR10410_2	Sanger / Illumina 1.9	101	58588322	73	47	66.95322729788685	PASS	WARN	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR10551_1	Sanger / Illumina 1.9	101	43531338	54	47	70.08515735772478	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
HOR10551_2	Sanger / Illumina 1.9	97	43531338	52	47	72.57862401605678	FAIL	FAIL	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
HOR10609_1	Sanger / Illumina 1.9	101	59628701	75	48	63.26142071321924	PASS	WARN	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR10609_2	Sanger / Illumina 1.9	100	59628701	74	48	64.17294139627381	PASS	WARN	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR10610_1	Sanger / Illumina 1.9	101	57789380	72	48	60.89016002913041	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR10610_2	Sanger / Illumina 1.9	100	57789380	72	48	61.45059091405455	PASS	WARN	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR10627_1	Sanger / Illumina 1.9	101	48342840	61	47	71.22036707856884	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
HOR10627_2	Sanger / Illumina 1.9	97	48342840	58	47	74.29980783043104	FAIL	FAIL	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
HOR10705_1	Sanger / Illumina 1.9	101	45936373	57	47	65.33239801224428	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR10705_2	Sanger / Illumina 1.9	101	45936373	57	47	65.52231296019797	PASS	WARN	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR10761_1	Sanger / Illumina 1.9	101	60723219	76	47	55.31819538596617	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	FAIL
HOR10761_2	Sanger / Illumina 1.9	100	60723219	75	47	56.150223384129525	PASS	WARN	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	FAIL
HOR10782_1	Sanger / Illumina 1.9	101	55624077	70	47	64.0181946046832	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR10782_2	Sanger / Illumina 1.9	100	55624077	69	47	65.29775692782472	PASS	WARN	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR11317_1	Sanger / Illumina 1.9	101	46952481	59	49	67.90498097292755	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR11317_2	Sanger / Illumina 1.9	101	46952481	59	49	68.38852330724859	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR1133_1	Sanger / Illumina 1.9	101	44889196	56	47	66.27829512701736	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR1133_2	Sanger / Illumina 1.9	101	44889196	56	48	66.61516107768149	PASS	WARN	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR11403_1	Sanger / Illumina 1.9	101	60560661	76	48	67.56553058295303	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR11403_2	Sanger / Illumina 1.9	101	60560661	76	48	68.41949392818681	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR1192_1	Sanger / Illumina 1.9	101	51341739	64	48	75.05998031534173	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
HOR1192_2	Sanger / Illumina 1.9	100	51341739	64	48	76.10100887151143	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
HOR12762_1	Sanger / Illumina 1.9	101	40656190	51	49	71.02622227257746	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
HOR12762_2	Sanger / Illumina 1.9	96	40656190	48	49	72.38174020460076	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
HOR12830_1	Sanger / Illumina 1.9	101	55296077	69	48	68.97774813989422	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR12830_2	Sanger / Illumina 1.9	101	55296077	69	48	69.66600727927216	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
