## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/groups/9/morrellp/shared/Projects/IPK_Landraces/sequence_handling/SAM_Processing/Picard/Sorted_BAM/100-HS8_sorted.bam] OUTPUT=/panfs/roc/groups/9/morrellp/shared/Projects/IPK_Landraces/sequence_handling/SAM_Processing/Picard/Deduped_BAM/100-HS8_deduped.bam METRICS_FILE=/panfs/roc/groups/9/morrellp/shared/Projects/IPK_Landraces/sequence_handling/SAM_Processing/Picard/Deduped_BAM/stats/100-HS8_Duplication_Metrics.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Mar 24 19:45:32 CDT 2017

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
IPKLAND_100-HS8	551790	54086741	1325386	339148	12068861	9865	0.225126	102460625

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000138
2.0	1.590075
3.0	1.938053
4.0	2.143309
5.0	2.26438
6.0	2.335795
7.0	2.377919
8.0	2.402766
9.0	2.417423
10.0	2.426068
11.0	2.431167
12.0	2.434175
13.0	2.435949
14.0	2.436996
15.0	2.437613
16.0	2.437977
17.0	2.438192
18.0	2.438318
19.0	2.438393
20.0	2.438437
21.0	2.438463
22.0	2.438479
23.0	2.438488
24.0	2.438493
25.0	2.438496
26.0	2.438498
27.0	2.438499
28.0	2.4385
29.0	2.4385
30.0	2.4385
31.0	2.4385
32.0	2.4385
33.0	2.438501
34.0	2.438501
35.0	2.438501
36.0	2.438501
37.0	2.438501
38.0	2.438501
39.0	2.438501
40.0	2.438501
41.0	2.438501
42.0	2.438501
43.0	2.438501
44.0	2.438501
45.0	2.438501
46.0	2.438501
47.0	2.438501
48.0	2.438501
49.0	2.438501
50.0	2.438501
51.0	2.438501
52.0	2.438501
53.0	2.438501
54.0	2.438501
55.0	2.438501
56.0	2.438501
57.0	2.438501
58.0	2.438501
59.0	2.438501
60.0	2.438501
61.0	2.438501
62.0	2.438501
63.0	2.438501
64.0	2.438501
65.0	2.438501
66.0	2.438501
67.0	2.438501
68.0	2.438501
69.0	2.438501
70.0	2.438501
71.0	2.438501
72.0	2.438501
73.0	2.438501
74.0	2.438501
75.0	2.438501
76.0	2.438501
77.0	2.438501
78.0	2.438501
79.0	2.438501
80.0	2.438501
81.0	2.438501
82.0	2.438501
83.0	2.438501
84.0	2.438501
85.0	2.438501
86.0	2.438501
87.0	2.438501
88.0	2.438501
89.0	2.438501
90.0	2.438501
91.0	2.438501
92.0	2.438501
93.0	2.438501
94.0	2.438501
95.0	2.438501
96.0	2.438501
97.0	2.438501
98.0	2.438501
99.0	2.438501
100.0	2.438501

