## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/groups/9/morrellp/shared/Projects/IPK_Landraces/sequence_handling/SAM_Processing/Picard/Sorted_BAM/BCC003_sorted.bam] OUTPUT=/panfs/roc/groups/9/morrellp/shared/Projects/IPK_Landraces/sequence_handling/SAM_Processing/Picard/Deduped_BAM/BCC003_deduped.bam METRICS_FILE=/panfs/roc/groups/9/morrellp/shared/Projects/IPK_Landraces/sequence_handling/SAM_Processing/Picard/Deduped_BAM/stats/BCC003_Duplication_Metrics.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Mar 24 21:12:56 CDT 2017

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
IPKLAND_BCC003	440270	53076833	1006154	185761	6355834	6101	0.120996	203713695

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000101
2.0	1.770809
3.0	2.36474
4.0	2.822441
5.0	3.17516
6.0	3.446976
7.0	3.656446
8.0	3.817869
9.0	3.942267
10.0	4.038132
11.0	4.112009
12.0	4.16894
13.0	4.212813
14.0	4.246623
15.0	4.272678
16.0	4.292757
17.0	4.30823
18.0	4.320154
19.0	4.329343
20.0	4.336425
21.0	4.341882
22.0	4.346088
23.0	4.349328
24.0	4.351826
25.0	4.353751
26.0	4.355234
27.0	4.356377
28.0	4.357258
29.0	4.357936
30.0	4.35846
31.0	4.358863
32.0	4.359173
33.0	4.359413
34.0	4.359597
35.0	4.359739
36.0	4.359849
37.0	4.359933
38.0	4.359998
39.0	4.360049
40.0	4.360087
41.0	4.360117
42.0	4.36014
43.0	4.360158
44.0	4.360171
45.0	4.360182
46.0	4.36019
47.0	4.360196
48.0	4.360201
49.0	4.360205
50.0	4.360207
51.0	4.36021
52.0	4.360211
53.0	4.360213
54.0	4.360214
55.0	4.360214
56.0	4.360215
57.0	4.360215
58.0	4.360216
59.0	4.360216
60.0	4.360216
61.0	4.360216
62.0	4.360217
63.0	4.360217
64.0	4.360217
65.0	4.360217
66.0	4.360217
67.0	4.360217
68.0	4.360217
69.0	4.360217
70.0	4.360217
71.0	4.360217
72.0	4.360217
73.0	4.360217
74.0	4.360217
75.0	4.360217
76.0	4.360217
77.0	4.360217
78.0	4.360217
79.0	4.360217
80.0	4.360217
81.0	4.360217
82.0	4.360217
83.0	4.360217
84.0	4.360217
85.0	4.360217
86.0	4.360217
87.0	4.360217
88.0	4.360217
89.0	4.360217
90.0	4.360217
91.0	4.360217
92.0	4.360217
93.0	4.360217
94.0	4.360217
95.0	4.360217
96.0	4.360217
97.0	4.360217
98.0	4.360217
99.0	4.360217
100.0	4.360217

