## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/groups/9/morrellp/shared/Projects/IPK_Landraces/sequence_handling/SAM_Processing/Picard/Sorted_BAM/BCC103_sorted.bam] OUTPUT=/panfs/roc/groups/9/morrellp/shared/Projects/IPK_Landraces/sequence_handling/SAM_Processing/Picard/Deduped_BAM/BCC103_deduped.bam METRICS_FILE=/panfs/roc/groups/9/morrellp/shared/Projects/IPK_Landraces/sequence_handling/SAM_Processing/Picard/Deduped_BAM/stats/BCC103_Duplication_Metrics.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Apr 05 20:03:46 CDT 2017

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
IPKLAND_BCC103	308698	44629337	782960	146638	6677368	15266	0.15074	134109181

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000288
2.0	1.71742
3.0	2.231551
4.0	2.600144
5.0	2.864397
6.0	3.053847
7.0	3.189669
8.0	3.287043
9.0	3.356852
10.0	3.406901
11.0	3.442782
12.0	3.468506
13.0	3.486948
14.0	3.50017
15.0	3.509649
16.0	3.516444
17.0	3.521316
18.0	3.524809
19.0	3.527313
20.0	3.529109
21.0	3.530396
22.0	3.531318
23.0	3.53198
24.0	3.532454
25.0	3.532794
26.0	3.533038
27.0	3.533213
28.0	3.533338
29.0	3.533428
30.0	3.533492
31.0	3.533538
32.0	3.533572
33.0	3.533595
34.0	3.533612
35.0	3.533625
36.0	3.533633
37.0	3.53364
38.0	3.533644
39.0	3.533647
40.0	3.53365
41.0	3.533651
42.0	3.533652
43.0	3.533653
44.0	3.533654
45.0	3.533654
46.0	3.533655
47.0	3.533655
48.0	3.533655
49.0	3.533655
50.0	3.533655
51.0	3.533655
52.0	3.533655
53.0	3.533655
54.0	3.533655
55.0	3.533655
56.0	3.533655
57.0	3.533655
58.0	3.533655
59.0	3.533655
60.0	3.533655
61.0	3.533655
62.0	3.533655
63.0	3.533655
64.0	3.533655
65.0	3.533655
66.0	3.533655
67.0	3.533655
68.0	3.533655
69.0	3.533655
70.0	3.533655
71.0	3.533655
72.0	3.533655
73.0	3.533655
74.0	3.533655
75.0	3.533655
76.0	3.533655
77.0	3.533655
78.0	3.533655
79.0	3.533655
80.0	3.533655
81.0	3.533655
82.0	3.533655
83.0	3.533655
84.0	3.533655
85.0	3.533655
86.0	3.533655
87.0	3.533655
88.0	3.533655
89.0	3.533655
90.0	3.533655
91.0	3.533655
92.0	3.533655
93.0	3.533655
94.0	3.533655
95.0	3.533655
96.0	3.533655
97.0	3.533655
98.0	3.533655
99.0	3.533655
100.0	3.533655

