## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/groups/9/morrellp/shared/Projects/IPK_Landraces/sequence_handling/SAM_Processing/Picard/Sorted_BAM/BCC126_sorted.bam] OUTPUT=/panfs/roc/groups/9/morrellp/shared/Projects/IPK_Landraces/sequence_handling/SAM_Processing/Picard/Deduped_BAM/BCC126_deduped.bam METRICS_FILE=/panfs/roc/groups/9/morrellp/shared/Projects/IPK_Landraces/sequence_handling/SAM_Processing/Picard/Deduped_BAM/stats/BCC126_Duplication_Metrics.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 28 22:36:39 CDT 2017

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
IPKLAND_BCC126	507584	68050533	1145972	229595	13429122	7460	0.198288	148959933

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000086
2.0	1.633424
3.0	2.034506
4.0	2.288505
5.0	2.449358
6.0	2.551223
7.0	2.615733
8.0	2.656586
9.0	2.682457
10.0	2.698841
11.0	2.709217
12.0	2.715787
13.0	2.719949
14.0	2.722584
15.0	2.724253
16.0	2.725309
17.0	2.725979
18.0	2.726403
19.0	2.726671
20.0	2.726841
21.0	2.726949
22.0	2.727017
23.0	2.72706
24.0	2.727087
25.0	2.727105
26.0	2.727116
27.0	2.727122
28.0	2.727127
29.0	2.72713
30.0	2.727131
31.0	2.727133
32.0	2.727133
33.0	2.727134
34.0	2.727134
35.0	2.727134
36.0	2.727134
37.0	2.727134
38.0	2.727134
39.0	2.727134
40.0	2.727134
41.0	2.727134
42.0	2.727134
43.0	2.727134
44.0	2.727134
45.0	2.727134
46.0	2.727134
47.0	2.727134
48.0	2.727134
49.0	2.727134
50.0	2.727134
51.0	2.727134
52.0	2.727134
53.0	2.727134
54.0	2.727134
55.0	2.727134
56.0	2.727134
57.0	2.727134
58.0	2.727134
59.0	2.727134
60.0	2.727134
61.0	2.727134
62.0	2.727134
63.0	2.727134
64.0	2.727134
65.0	2.727134
66.0	2.727134
67.0	2.727134
68.0	2.727134
69.0	2.727134
70.0	2.727134
71.0	2.727134
72.0	2.727134
73.0	2.727134
74.0	2.727134
75.0	2.727134
76.0	2.727134
77.0	2.727134
78.0	2.727134
79.0	2.727134
80.0	2.727134
81.0	2.727134
82.0	2.727134
83.0	2.727134
84.0	2.727134
85.0	2.727134
86.0	2.727134
87.0	2.727134
88.0	2.727134
89.0	2.727134
90.0	2.727134
91.0	2.727134
92.0	2.727134
93.0	2.727134
94.0	2.727134
95.0	2.727134
96.0	2.727134
97.0	2.727134
98.0	2.727134
99.0	2.727134
100.0	2.727134

