## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/groups/9/morrellp/shared/Projects/IPK_Landraces/sequence_handling/SAM_Processing/Picard/Sorted_BAM/BCC1589_sorted.bam] OUTPUT=/panfs/roc/groups/9/morrellp/shared/Projects/IPK_Landraces/sequence_handling/SAM_Processing/Picard/Deduped_BAM/BCC1589_deduped.bam METRICS_FILE=/panfs/roc/groups/9/morrellp/shared/Projects/IPK_Landraces/sequence_handling/SAM_Processing/Picard/Deduped_BAM/stats/BCC1589_Duplication_Metrics.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Mar 25 03:16:42 CDT 2017

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
IPKLAND_BCC1589	525111	73059757	1490123	330737	23529166	9468	0.323156	87499541

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000083
2.0	1.434005
3.0	1.622278
4.0	1.703967
5.0	1.739411
6.0	1.754789
7.0	1.761462
8.0	1.764357
9.0	1.765613
10.0	1.766158
11.0	1.766395
12.0	1.766497
13.0	1.766542
14.0	1.766561
15.0	1.766569
16.0	1.766573
17.0	1.766575
18.0	1.766575
19.0	1.766576
20.0	1.766576
21.0	1.766576
22.0	1.766576
23.0	1.766576
24.0	1.766576
25.0	1.766576
26.0	1.766576
27.0	1.766576
28.0	1.766576
29.0	1.766576
30.0	1.766576
31.0	1.766576
32.0	1.766576
33.0	1.766576
34.0	1.766576
35.0	1.766576
36.0	1.766576
37.0	1.766576
38.0	1.766576
39.0	1.766576
40.0	1.766576
41.0	1.766576
42.0	1.766576
43.0	1.766576
44.0	1.766576
45.0	1.766576
46.0	1.766576
47.0	1.766576
48.0	1.766576
49.0	1.766576
50.0	1.766576
51.0	1.766576
52.0	1.766576
53.0	1.766576
54.0	1.766576
55.0	1.766576
56.0	1.766576
57.0	1.766576
58.0	1.766576
59.0	1.766576
60.0	1.766576
61.0	1.766576
62.0	1.766576
63.0	1.766576
64.0	1.766576
65.0	1.766576
66.0	1.766576
67.0	1.766576
68.0	1.766576
69.0	1.766576
70.0	1.766576
71.0	1.766576
72.0	1.766576
73.0	1.766576
74.0	1.766576
75.0	1.766576
76.0	1.766576
77.0	1.766576
78.0	1.766576
79.0	1.766576
80.0	1.766576
81.0	1.766576
82.0	1.766576
83.0	1.766576
84.0	1.766576
85.0	1.766576
86.0	1.766576
87.0	1.766576
88.0	1.766576
89.0	1.766576
90.0	1.766576
91.0	1.766576
92.0	1.766576
93.0	1.766576
94.0	1.766576
95.0	1.766576
96.0	1.766576
97.0	1.766576
98.0	1.766576
99.0	1.766576
100.0	1.766576

