## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/groups/9/morrellp/shared/Projects/IPK_Landraces/sequence_handling/SAM_Processing/Picard/Sorted_BAM/FT359_sorted.bam] OUTPUT=/panfs/roc/groups/9/morrellp/shared/Projects/IPK_Landraces/sequence_handling/SAM_Processing/Picard/Deduped_BAM/FT359_deduped.bam METRICS_FILE=/panfs/roc/groups/9/morrellp/shared/Projects/IPK_Landraces/sequence_handling/SAM_Processing/Picard/Deduped_BAM/stats/FT359_Duplication_Metrics.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Mar 25 06:54:15 CDT 2017

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
IPKLAND_FT359	436543	51984122	993489	198336	6036822	10714	0.117542	206445967

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000181
2.0	1.777719
3.0	2.382173
4.0	2.852074
5.0	3.217373
6.0	3.501355
7.0	3.722122
8.0	3.893745
9.0	4.027165
10.0	4.130884
11.0	4.211516
12.0	4.274198
13.0	4.322927
14.0	4.360809
15.0	4.390258
16.0	4.413152
17.0	4.430949
18.0	4.444785
19.0	4.455541
20.0	4.463902
21.0	4.470403
22.0	4.475456
23.0	4.479384
24.0	4.482438
25.0	4.484812
26.0	4.486658
27.0	4.488093
28.0	4.489208
29.0	4.490075
30.0	4.490749
31.0	4.491273
32.0	4.491681
33.0	4.491997
34.0	4.492244
35.0	4.492435
36.0	4.492584
37.0	4.492699
38.0	4.492789
39.0	4.492859
40.0	4.492914
41.0	4.492956
42.0	4.492989
43.0	4.493014
44.0	4.493034
45.0	4.493049
46.0	4.493061
47.0	4.493071
48.0	4.493078
49.0	4.493084
50.0	4.493088
51.0	4.493091
52.0	4.493094
53.0	4.493096
54.0	4.493098
55.0	4.493099
56.0	4.4931
57.0	4.493101
58.0	4.493101
59.0	4.493102
60.0	4.493102
61.0	4.493102
62.0	4.493103
63.0	4.493103
64.0	4.493103
65.0	4.493103
66.0	4.493103
67.0	4.493103
68.0	4.493103
69.0	4.493103
70.0	4.493103
71.0	4.493103
72.0	4.493103
73.0	4.493103
74.0	4.493103
75.0	4.493103
76.0	4.493103
77.0	4.493103
78.0	4.493103
79.0	4.493103
80.0	4.493103
81.0	4.493103
82.0	4.493103
83.0	4.493103
84.0	4.493103
85.0	4.493103
86.0	4.493103
87.0	4.493103
88.0	4.493103
89.0	4.493103
90.0	4.493103
91.0	4.493103
92.0	4.493103
93.0	4.493103
94.0	4.493103
95.0	4.493103
96.0	4.493103
97.0	4.493103
98.0	4.493103
99.0	4.493103
100.0	4.493103

