## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/groups/9/morrellp/shared/Projects/IPK_Landraces/sequence_handling/SAM_Processing/Picard/Sorted_BAM/HOR3959_sorted.bam] OUTPUT=/panfs/roc/groups/9/morrellp/shared/Projects/IPK_Landraces/sequence_handling/SAM_Processing/Picard/Deduped_BAM/HOR3959_deduped.bam METRICS_FILE=/panfs/roc/groups/9/morrellp/shared/Projects/IPK_Landraces/sequence_handling/SAM_Processing/Picard/Deduped_BAM/stats/HOR3959_Duplication_Metrics.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Mar 25 13:25:48 CDT 2017

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
IPKLAND_HOR3959	340236	57102706	967672	200595	13628341	10785	0.239706	99777575

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.00014
2.0	1.564445
3.0	1.882841
4.0	2.062488
5.0	2.16385
6.0	2.221041
7.0	2.253309
8.0	2.271516
9.0	2.281789
10.0	2.287585
11.0	2.290856
12.0	2.292701
13.0	2.293742
14.0	2.294329
15.0	2.294661
16.0	2.294848
17.0	2.294953
18.0	2.295013
19.0	2.295046
20.0	2.295065
21.0	2.295076
22.0	2.295082
23.0	2.295085
24.0	2.295087
25.0	2.295088
26.0	2.295089
27.0	2.295089
28.0	2.29509
29.0	2.29509
30.0	2.29509
31.0	2.29509
32.0	2.29509
33.0	2.29509
34.0	2.29509
35.0	2.29509
36.0	2.29509
37.0	2.29509
38.0	2.29509
39.0	2.29509
40.0	2.29509
41.0	2.29509
42.0	2.29509
43.0	2.29509
44.0	2.29509
45.0	2.29509
46.0	2.29509
47.0	2.29509
48.0	2.29509
49.0	2.29509
50.0	2.29509
51.0	2.29509
52.0	2.29509
53.0	2.29509
54.0	2.29509
55.0	2.29509
56.0	2.29509
57.0	2.29509
58.0	2.29509
59.0	2.29509
60.0	2.29509
61.0	2.29509
62.0	2.29509
63.0	2.29509
64.0	2.29509
65.0	2.29509
66.0	2.29509
67.0	2.29509
68.0	2.29509
69.0	2.29509
70.0	2.29509
71.0	2.29509
72.0	2.29509
73.0	2.29509
74.0	2.29509
75.0	2.29509
76.0	2.29509
77.0	2.29509
78.0	2.29509
79.0	2.29509
80.0	2.29509
81.0	2.29509
82.0	2.29509
83.0	2.29509
84.0	2.29509
85.0	2.29509
86.0	2.29509
87.0	2.29509
88.0	2.29509
89.0	2.29509
90.0	2.29509
91.0	2.29509
92.0	2.29509
93.0	2.29509
94.0	2.29509
95.0	2.29509
96.0	2.29509
97.0	2.29509
98.0	2.29509
99.0	2.29509
100.0	2.29509

