## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/groups/9/morrellp/shared/Projects/IPK_Landraces/sequence_handling/SAM_Processing/Picard/Sorted_BAM/SBCC003_sorted.bam] OUTPUT=/panfs/roc/groups/9/morrellp/shared/Projects/IPK_Landraces/sequence_handling/SAM_Processing/Picard/Deduped_BAM/SBCC003_deduped.bam METRICS_FILE=/panfs/roc/groups/9/morrellp/shared/Projects/IPK_Landraces/sequence_handling/SAM_Processing/Picard/Deduped_BAM/stats/SBCC003_Duplication_Metrics.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Mar 25 15:39:08 CDT 2017

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
IPKLAND_SBCC003	407152	49001301	1085936	229946	8224146	12758	0.169477	129299349

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000214
2.0	1.684923
3.0	2.153649
4.0	2.474521
5.0	2.694178
6.0	2.844547
7.0	2.947484
8.0	3.01795
9.0	3.066189
10.0	3.099212
11.0	3.121818
12.0	3.137293
13.0	3.147887
14.0	3.155139
15.0	3.160103
16.0	3.163502
17.0	3.165828
18.0	3.167421
19.0	3.168511
20.0	3.169257
21.0	3.169768
22.0	3.170118
23.0	3.170358
24.0	3.170521
25.0	3.170634
26.0	3.17071
27.0	3.170763
28.0	3.170799
29.0	3.170824
30.0	3.170841
31.0	3.170852
32.0	3.17086
33.0	3.170865
34.0	3.170869
35.0	3.170872
36.0	3.170873
37.0	3.170875
38.0	3.170875
39.0	3.170876
40.0	3.170876
41.0	3.170877
42.0	3.170877
43.0	3.170877
44.0	3.170877
45.0	3.170877
46.0	3.170877
47.0	3.170877
48.0	3.170877
49.0	3.170877
50.0	3.170877
51.0	3.170877
52.0	3.170877
53.0	3.170877
54.0	3.170877
55.0	3.170877
56.0	3.170877
57.0	3.170877
58.0	3.170877
59.0	3.170877
60.0	3.170877
61.0	3.170877
62.0	3.170877
63.0	3.170877
64.0	3.170877
65.0	3.170877
66.0	3.170877
67.0	3.170877
68.0	3.170877
69.0	3.170877
70.0	3.170877
71.0	3.170877
72.0	3.170877
73.0	3.170877
74.0	3.170877
75.0	3.170877
76.0	3.170877
77.0	3.170877
78.0	3.170877
79.0	3.170877
80.0	3.170877
81.0	3.170877
82.0	3.170877
83.0	3.170877
84.0	3.170877
85.0	3.170877
86.0	3.170877
87.0	3.170877
88.0	3.170877
89.0	3.170877
90.0	3.170877
91.0	3.170877
92.0	3.170877
93.0	3.170877
94.0	3.170877
95.0	3.170877
96.0	3.170877
97.0	3.170877
98.0	3.170877
99.0	3.170877
100.0	3.170877

