INDV	O(HOM)	E(HOM)	N_SITES	F
HOR14153	979501	866268.9	1005555	0.81295
BCC003	973350	857517.6	992734	0.85664
BCC126	992031	865444.3	1003536	0.91669
FT390	1003489	868200.3	1010839	0.94847
FT523	986691	854583.1	993510	0.95092
HOR1758	985285	854777.2	991881	0.95189
HOR1463	986529	853414.5	993106	0.95292
FT554	992040	857938.6	998615	0.95326
HOR8658	965833	843441.1	971720	0.95411
BCC103	984407	851763.6	990786	0.95412
HOR2800	991706	857839.8	998132	0.95420
HOR10627	991754	857329.9	998179	0.95438
BCC182	996373	860884.6	1002826	0.95454
HOR1804	993941	859120.2	1000270	0.95516
BCC21	961042	835105.1	966828	0.95607
HOR2777	997376	861448.0	1003541	0.95661
FT561	987808	855347.1	993786	0.95682
HOR1431	991183	856533.9	997232	0.95701
HOR11403	999184	864615.6	1005206	0.95717
HOR10609	1000482	864711.4	1006464	0.95780
BCC107	964195	836324.3	969790	0.95808
FT525	982867	851272.9	988610	0.95818
HOR8827	1004316	868162.8	1010240	0.95830
FT380	1009789	872436.9	1015765	0.95831
HOR11317	989837	857265.8	995578	0.95849
HOR1842	1003951	866944.9	1009872	0.95857
HOR2462	1002230	865105.7	1008115	0.95885
BCC185	999617	864084.0	1005365	0.95932
HOR2465	1006212	868208.2	1012041	0.95947
BCC192	1002201	866064.5	1007944	0.95952
BCC105	987292	854156.4	992865	0.95982
FT553	992942	858690.3	998526	0.96007
FT388	1000940	864684.3	1006602	0.96010
HOR4469	989023	853734.5	994593	0.96046
BCC197	1007535	870306.6	1013178	0.96050
HOR8455	998804	863107.5	1004354	0.96071
BCC190	1004638	867724.7	1010185	0.96106
HOR2766	987965	854376.9	993292	0.96165
BCC761	996508	862211.3	1001848	0.96176
BCC195	1008129	871299.8	1013532	0.96201
HOR10103	989352	857629.1	994554	0.96201
HOR10152	996860	862529.5	1002085	0.96256
FT524	1006412	869625.5	1011730	0.96258
FT549	1012274	873816.5	1017571	0.96315
BCC51	972194	843436.6	977102	0.96328
HOR2854	1002760	867859.9	1007889	0.96337
HOR9607	988576	858745.5	993457	0.96377
HOR10350	992326	859956.3	997279	0.96393
HOR2792	1005665	869957.6	1010706	0.96418
FT539	1003676	867151.2	1008706	0.96447
HOR10360	992755	860380.7	997584	0.96480
HOR1192	991283	858236.0	996077	0.96522
HOR10610	1009779	872471.2	1014659	0.96568
FT414	989350	859718.0	993933	0.96585
HOR5702	995195	860260.6	999943	0.96601
HOR2458	1010558	871843.7	1015404	0.96624
BCC108	1006017	870212.0	1010729	0.96647
HOR6360	992717	859809.9	997307	0.96662
HOR10761	1001657	867202.8	1006258	0.96691
FT555	997078	864580.5	1001557	0.96730
HOR10130	1007056	870318.9	1011660	0.96743
HOR10280	999418	864001.6	1003967	0.96750
SBCC014	1012506	875701.7	1017100	0.96751
BCC110	1003120	865720.1	1007732	0.96752
HOR154	1005122	870831.0	1009544	0.96812
HOR14279	997326	863647.6	1001714	0.96822
HOR13416	1013250	875219.4	1017763	0.96834
BCC168	1002091	867486.1	1006466	0.96852
HOR4724	1015859	877372.7	1020304	0.96890
BCC54	995279	862484.5	999538	0.96892
HOR8113	1005149	870232.5	1009473	0.96895
HOR9827	1004974	869796.2	1009304	0.96896
HOR9888	1011560	873650.0	1015975	0.96898
HOR12762	1006622	870460.9	1010861	0.96981
HOR3938	1016384	878268.6	1020643	0.97009
FT359	984889	848263.3	989088	0.97018
HOR713	1003470	868343.3	1007596	0.97037
100-HS8	1021517	880533.2	1025818	0.97040
HOR1707	1016996	878781.9	1021193	0.97053
HOR2867	1019109	880358.3	1023322	0.97053
HOR2829	1017433	879679.6	1021604	0.97061
HOR2785	1022155	882609.8	1026357	0.97077
HOR8842	1012404	875584.7	1016449	0.97128
BCC131	1010006	873011.8	1014046	0.97135
SBCC095	1012955	875795.2	1017001	0.97135
HOR2808	1024072	883592.8	1028214	0.97136
FT411	991424	862067.4	995236	0.97137
HOR10551	1004351	866847.8	1008379	0.97154
95-HS3	1012326	872520.5	1016377	0.97184
BCC167	1000990	865689.3	1004867	0.97214
93-HS1	1003292	865633.4	1007235	0.97215
FT226	1001515	869733.2	1005220	0.97265
HOR7969	1007001	867238.4	1010924	0.97270
BCC169	1013995	876328.7	1017811	0.97303
94-HS2	1014545	874295.7	1018424	0.97309
SBCC144	1026814	886115.3	1030680	0.97326
HOR1133	1012873	874647.0	1016617	0.97363
HOR10410	1024154	883240.6	1027957	0.97372
SBCC002	1017379	879708.9	1021092	0.97374
HOR4150	1019870	881281.1	1023597	0.97381
HOR902	1018330	876751.7	1022099	0.97407
HOR8635	1002396	864387.7	1006003	0.97453
FT519	1021090	882063.2	1024715	0.97459
HOR12830	1020087	881410.1	1023698	0.97462
HOR7380	1015792	878529.9	1019282	0.97520
HOR2351	1013370	876808.5	1016825	0.97532
HOR454	1007838	870271.6	1011297	0.97547
SBCC158	1031230	889600.6	1034760	0.97568
BCC1503	1025053	884841.1	1028528	0.97582
SBCC003	1025924	885829.4	1029315	0.97637
BCC42	1009428	873989.5	1012602	0.97710
HOR756	1024754	884769.6	1028005	0.97730
HOR10782	1026881	886472.9	1030130	0.97738
HOR9453	1021850	881092.7	1025104	0.97740
HOR4720	1025924	884798.6	1029179	0.97746
HOR937	1016557	879621.9	1019708	0.97751
FT521	1025540	885340.4	1028702	0.97794
HOR383	1020832	881608.1	1023971	0.97795
FT520	1027419	887257.2	1030548	0.97816
HOR9919	1034791	892706.1	1037952	0.97824
HOR758	1018464	878504.4	1021553	0.97841
