INDV	N_DATA	N_GENOTYPES_FILTERED	N_MISS	F_MISS
BCC21	1066495	0	99667	0.0934529
BCC107	1066495	0	96705	0.0906755
HOR8658	1066495	0	94775	0.0888659
BCC51	1066495	0	89393	0.0838194
FT525	1066495	0	77885	0.0730289
FT359	1066495	0	77407	0.0725807
BCC103	1066495	0	75709	0.0709886
HOR1758	1066495	0	74614	0.0699619
HOR742	1066495	0	74418	0.0697781
BCC003	1066495	0	73761	0.0691621
BCC105	1066495	0	73630	0.0690392
HOR1463	1066495	0	73389	0.0688133
HOR2766	1066495	0	73203	0.0686389
HOR9607	1066495	0	73038	0.0684841
FT523	1066495	0	72985	0.0684345
FT561	1066495	0	72709	0.0681757
FT414	1066495	0	72562	0.0680378
HOR10103	1066495	0	71941	0.0674555
HOR4469	1066495	0	71902	0.067419
FT411	1066495	0	71259	0.0668161
HOR11317	1066495	0	70917	0.0664954
HOR1192	1066495	0	70418	0.0660275
HOR1431	1066495	0	69263	0.0649445
HOR10350	1066495	0	69216	0.0649004
HOR6360	1066495	0	69188	0.0648742
HOR10360	1066495	0	68911	0.0646145
HOR2800	1066495	0	68363	0.0641006
HOR10627	1066495	0	68316	0.0640566
FT553	1066495	0	67969	0.0637312
FT554	1066495	0	67880	0.0636477
BCC54	1066495	0	66957	0.0627823
HOR5702	1066495	0	66552	0.0624025
HOR1804	1066495	0	66225	0.0620959
FT555	1066495	0	64938	0.0608892
HOR14279	1066495	0	64781	0.060742
BCC761	1066495	0	64647	0.0606163
HOR10152	1066495	0	64410	0.0603941
BCC182	1066495	0	63669	0.0596993
BCC126	1066495	0	62959	0.0590336
HOR2777	1066495	0	62954	0.0590289
HOR10280	1066495	0	62528	0.0586294
HOR8455	1066495	0	62141	0.0582666
BCC167	1066495	0	61628	0.0577855
HOR11403	1066495	0	61289	0.0574677
FT226	1066495	0	61275	0.0574546
BCC185	1066495	0	61130	0.0573186
HOR14153	1066495	0	60940	0.0571404
HOR8635	1066495	0	60492	0.0567204
HOR10761	1066495	0	60237	0.0564813
HOR10609	1066495	0	60031	0.0562881
BCC168	1066495	0	60029	0.0562862
FT388	1066495	0	59893	0.0561587
93-HS1	1066495	0	59260	0.0555652
HOR713	1066495	0	58899	0.0552267
BCC110	1066495	0	58763	0.0550992
HOR2854	1066495	0	58606	0.054952
BCC192	1066495	0	58551	0.0549004
HOR2462	1066495	0	58380	0.0547401
HOR10551	1066495	0	58116	0.0544925
FT539	1066495	0	57789	0.0541859
HOR9827	1066495	0	57191	0.0536252
HOR8113	1066495	0	57022	0.0534667
HOR154	1066495	0	56951	0.0534002
HOR1842	1066495	0	56623	0.0530926
BCC190	1066495	0	56310	0.0527991
