0%	0
1%	5
2%	7
3%	8
4%	10
5%	11
6%	12
7%	13
8%	13
9%	14
10%	15
11%	16
12%	17
13%	17
14%	18
15%	19
16%	19
17%	20
18%	20
19%	21
20%	21
21%	22
22%	23
23%	23
24%	24
25%	25
26%	25
27%	26
28%	27
29%	27
30%	28
31%	29
32%	30
33%	30
34%	31
35%	32
36%	33
37%	33
38%	33
39%	33
40%	34
41%	34
42%	34
43%	34
44%	35
45%	35
46%	35
47%	35
48%	35
49%	36
50%	36
51%	36
52%	36
53%	37
54%	37
55%	37
56%	37
57%	38
58%	38
59%	38
60%	39
61%	39
62%	39
63%	40
64%	40
65%	40
66%	41
67%	41
68%	42
69%	42
70%	43
71%	43
72%	44
73%	44
74%	45
75%	46
76%	46
77%	47
78%	48
79%	50
80%	52
81%	54
82%	56
83%	58
84%	61
85%	64
86%	67
87%	71
88%	75
89%	80
90%	86
91%	92
92%	99
93%	108
94%	119
95%	132
96%	149
97%	173
98%	210
99%	280
100%	5325
