0%	0
1%	0
2%	1
3%	3
4%	3
5%	6
6%	6
7%	9
8%	11
9%	12
10%	15
11%	15
12%	18
13%	21
14%	21
15%	24
16%	27
17%	27
18%	30
19%	33
20%	33
21%	36
22%	38
23%	39
24%	42
25%	42
26%	45
27%	48
28%	48
29%	51
30%	54
31%	54
32%	57
33%	58
34%	60
35%	60
36%	60
37%	63
38%	66
39%	69
40%	72
41%	72
42%	75
43%	78
44%	81
45%	81
46%	84
47%	87
48%	90
49%	90
50%	93
51%	99
52%	99
53%	99
54%	99
55%	99
56%	99
57%	99
58%	99
59%	99
60%	99
61%	99
62%	99
63%	99
64%	99
65%	99
66%	99
67%	99
68%	99
69%	99
70%	99
71%	99
72%	99
73%	99
74%	99
75%	99
76%	99
77%	99
78%	99
79%	99
80%	99
81%	99
82%	99
83%	99
84%	99
85%	99
86%	99
87%	99
88%	99
89%	99
90%	99
91%	99
92%	99
93%	99
94%	99
95%	99
96%	99
97%	99
98%	99
99%	99
100%	99
