Loci	Variants	Theta_W	Theta_Pi	Tajimas_D
adh1	2	0.364064	0.297553	-0.265311
adh2	22	7.67024	9.99573	0.923476
adh3	76	26.6293	32.7349	0.743551
alpha-amy1	0	NA	NA	NA
cbf3	26	8.83689	12.571	1.31137
dhn1	8	3.31642	3.93428	0.517331
dhn4	0	NA	NA	NA
dhn5	0	0	0	NA
dhn7	41	14.9004	20.4199	1.18564
dhn9	4	1.82779	2.24365	0.559043
faldh	14	4.40949	7.59372	2.08501
g3pdh	36	13.3097	22.0539	2.10067
orf1	14	4.76074	7.49477	1.66941
pepc	2	0.728128	1.0219	0.759515
pepc5	0	NA	NA	NA
stk	22	8.78691	8.78565	-0.000443729
vrn1	14	4.01354	5.97878	1.38739
waxy	34	9.89532	14.7038	1.51379
